drug_name	drug_type	CID/CIDs	Source	therapy_type	action	action_class	approval_status	drugbank_id	synonyms
fluvastatin	small molecule	446155	CTRPV2	Targeted Therapy	HMGCR inhibitor		approved	DB01095	fluvastatina|fluvastatine|fluvastatinum
ver-155008	small molecule	25195348	CTRPV2	Targeted Therapy	HSP 70 inhibitor,adenosine-derived				
sid 26681509	small molecule	16725315	CTRPV2	Targeted Therapy	Human cathepsin L inhibitor,potent and reversible				
bardoxolone methyl	small molecule	400769	CTRPV2	Targeted Therapy	IKK inhibitor, potent antioxidant inflammation modulator		investigational	DB05983	Bardoxolone methyl|NSC-713200|RTA 402|RTA-402
pf-184	small molecule	57519531	CTRPV2	Targeted Therapy	IKKβ inhibitor				
triptolide	small molecule	107985	CTRPV2	Targeted Therapy	IL-2/MMP-3/MMP7/MMP19 inhibitor		investigational	DB12025	
myriocin	small molecule	6438394	CTRPV2	Targeted Therapy	immunosuppressant and specific serine palmitoyltransferase inhibitor				
indisulam	small molecule	216468	CTRPV2	Targeted Therapy	Indisulam (E 7070) is a carbonic anhydrase inhibitor with anticancer activity.		investigational	DB06370	Indisulam|E-7070|E7070
c6-ceramide	small molecule	5702613	CTRPV2	Targeted Therapy	inhibition of the mitochondrial respiratory chain				
bax channel blocker	small molecule	2729026	CTRPV2	Targeted Therapy	Inhibitor of Bax-mediated mitochondrial cytochrome c release				
ceranib-2	small molecule	122388991	CTRPV2	Targeted Therapy	inhibitor of cellular ceramidase activity				
kh-cb19	small molecule	44237094	CTRPV2	Targeted Therapy	inhibitor of CLK1 and CLK4, potent and selective				
cid-5951923	small molecule	5951923	CTRPV2	Targeted Therapy	inhibitor of Krüppel-like factor 5 (KLF5) transcription factor				
ml239	small molecule	135999136	CTRPV2	Targeted Therapy	inhibitor of the breast cancer stem cells				
jw-74	small molecule	16013152	CTRPV2	Targeted Therapy	inhibitor of the catalytic PARP domain of TNKS1/2				
pyr-41	small molecule	5335621	CTRPV2	Targeted Therapy	inhibitor of Ubiquitin-Activating Enzyme (E1)				
isoliquiritigenin	small molecule	638278	CTRPV2	Targeted Therapy	inhibits aldose reductase		experimental	DB03285	E)-1-(2,4-Dihydroxy-phenyl)-3-(4-hydroxy-phenyl)-propenone|(E)-1-(2,4-dihydroxyphenyl)-3-(4-hydroxyphenyl)-2-propene-1-one|2',4,4'-Trihydroxychalcone|4,2',4'-Trihydroxychalcone|trans-2',4,4'-trihydroxychalcone|GU 17|GU-17
nsc632839	small molecule	5351362	CTRPV2	Targeted Therapy	Isopeptidases inhibitor				
leptomycin b	small molecule	6917907	CTRPV2	Targeted Therapy	Leptomycin B is a potent inhibitor of the nuclear export of proteins.				
cbb-1007	small molecule	72199289	CTRPV2	Targeted Therapy	LSD1 inhibitor,potent and selective				
tacrolimus	small molecule	445643	CTRPV2	Immunotherapy	Macrolide calcineurin inhibitor,immunosuppressant		approved	DB00864	
mdivi-1	small molecule	3825829	CTRPV2	Targeted Therapy	Mdivi-1 (Mitochondrial division inhibitor 1) inhibits traumatic brain injury (TBI)-induced dynamin-related protein 1(Drp1) up-regulation, autophagy dysfunction and mitophagy activation				
sj-172550	small molecule	1317464	CTRPV2	Targeted Therapy	MDMX inhibitor				
ciclopirox	small molecule	2749	CTRPV2	Targeted Therapy	membrane transfer system inhibitor		approved	DB01188	ciclodan|cnl8|loprox|penlac|stieprox
mi-2	small molecule	54765302	CTRPV2	Targeted Therapy	Menin-MLL Inhibitor				
lomeguatrib	small molecule	3025944	CTRPV2	Targeted Therapy	MGMT inhibitor		investigational		
ml162	small molecule	3689413	CTRPV2	Targeted Therapy	ML-162 is a GPX4 inhibitor 				
chs-828	small molecule	148198	CTRPV2	Targeted Therapy	NAMPT inhibitor		investigational	DB12980	gmx-1778
necrostatin-7	small molecule	1239801	CTRPV2	Targeted Therapy	Necrostatin-7 (Nec-7) is a necroptosis inhibitor 				
bms-195614	small molecule	445091	CTRPV2	Targeted Therapy	Neutral RARα selective antagonist				
spautin-1	small molecule	51037431	CTRPV2	Targeted Therapy	Novel autophagy inhibitor				
a-804598	small molecule	53325874	CTRPV2	Targeted Therapy	P2X7 antagonist,potent and selective				
skepinone-l	small molecule	45279963	CTRPV2	Targeted Therapy	P38-MAPK inhibitor,potent and selective				
gossypol	small molecule	3503	CTRPV2	Targeted Therapy	PAF inhibitor		investigational	DB13044	
pf-3758309	small molecule	25227462	CTRPV2	Targeted Therapy	PAK4 inhibitor		investigational	DB11775	PF-3758309
vorapaxar	small molecule	10077130	CTRPV2	Targeted Therapy	PAR-1 antagonist,		approved	DB09030	Vorapaxar|MFCD16038876|ZCE93644N2
jw-55	small molecule	2946601	CTRPV2	Targeted Therapy	PARP domain inhibitor				
azd7545	small molecule	16741245	CTRPV2	Targeted Therapy	PDHK inhibitor,potent and selective				
pitstop2	small molecule	136227331	CTRPV2	Targeted Therapy	Pitstop2 is an inhibitor of the interaction between the clathrin terminal domain and amphiphysin				
sotrastaurin	small molecule	10296883	CTRPV2	Targeted Therapy	PKC inhibitor		investigational	DB12369	Sotrastaurin|Sotrastaurina|Sotrastaurinum|AEB071
gsk461364	small molecule	15983966	CTRPV2	Targeted Therapy	Plk1 inhibitor				
abiraterone	small molecule	132971	CTRPV2	Hormone Therapy	Potent CYP17 inhibitor		approved	DB05812	abiraterone acetate|nsc-741232|cb 7598|cb-7598
birinapant	small molecule	49836020	CTRPV2	Targeted Therapy	Potent XIAP/cIAP1 antagonist		investigational	DB11782	
necrosulfonamide	small molecule	1566236	CTRPV2	Targeted Therapy	Potent, selective necroptosis inhibitor				
ixazomib	small molecule	25183872	CTRPV2	Targeted Therapy	proteasome inhibitor		approved	DB09570	mln2238|ninlaro|mln2238
Galunisertib	small molecule	10090485	CTRPV2	Targeted Therapy	protein inhibitor		investigational	DB11911	Galunisertib|Galunisertibum|LY 2157299|LY-2157299|LY2157299
onalespib	small molecule	11955716	CTRPV2	Targeted Therapy	protein inhibitor		investigational	DB06306	at13387
sonidegib	small molecule	24775005	CTRPV2	Targeted Therapy	protein inhibitor		approved	DB09143	erismodegib
valdecoxib	small molecule	119607	CTRPV2	Targeted Therapy	protein inhibitor,COX-2 inhibitor		investigational	DB00580	
ch-55	small molecule	6184667	CTRPV2	Targeted Therapy	RAR agonist				
le-135	small molecule	10410894	CTRPV2	Targeted Therapy	RARβ antagonist				
ac55649	small molecule	1714884	CTRPV2	Targeted Therapy	RARβ2 agonist, potent and selective				
cd-437	small molecule	135411	CTRPV2	Targeted Therapy	RARγ-selective agonist,potent and cell-permeable				
gsk4112	small molecule	50905018	CTRPV2	Targeted Therapy	Rev-Erbα agonist				
sr8278	small molecule	53393127	CTRPV2	Targeted Therapy	Rev-Erbα antagonist				
sb-743921	small molecule	49867937	CTRPV2	Targeted Therapy	SB743921		investigational	DB05546	SB-743921|SB-743921 free base
nsc23766	small molecule	409805	CTRPV2	Targeted Therapy	Selective inhibitor of Rac1-GEF interaction.				
marinopyrrole a	small molecule	24797083	CTRPV2	Targeted Therapy	Selective Mcl-1 inhibitor				
jw-480	small molecule	57330099	CTRPV2	Targeted Therapy	serine hydrolase KIAA1363 (AADACL1) inhibitor				
srt-1720	small molecule	24180125	CTRPV2	Targeted Therapy	SRT 1720 is a selective activator of human SIRT1 and shows less potent activities for SIRT2 and SIRT3		investigational	DB17057	2-quinoxalinecarboxamide, n-(2-(3-(1-piperazinylmethyl)imidazo(2,1-b)thiazol-6-yl)phenyl)-|N-(2-(3-(1-piperazinylmethyl)imidazo(2,1-b)thiazol-6-yl)phenyl)-2-quinoxalinecarboxamide|SRT1720|SRT1720
nsc 74859	small molecule	252682	CTRPV2	Targeted Therapy	Stat3 inhibitor				
niclosamide	small molecule	4477	CTRPV2	Targeted Therapy	STAT3 signaling pathway inhibitor		approved	DB06803	
cucurbitacin i	small molecule	5281321	CTRPV2	Targeted Therapy	STAT3/JAK2 signaling inhibitor				
ym-155	small molecule	11178236	CTRPV2	Targeted Therapy	Survivin suppressant,apoptosis inhibitor				
hc-067047	small molecule	2742550	CTRPV2	Targeted Therapy	TRPV4 antagonist				
chm-1	small molecule	375860	CTRPV2	Targeted Therapy	Tubulin polymerization inhibitor				
hbx-41108	small molecule	16065773	CTRPV2	Targeted Therapy	Ubiquitin-specific protease (USP) 7 inhibitor				
unc0321	small molecule	46901937	CTRPV2	Targeted Therapy	UNC0321 is a potent and selective histone methyltransferase G9a inhibitor				
epigallocatechin-3-monogallate	small molecule	65064	CTRPV2		used as dietary suppliment				
iu1	small molecule	675434	CTRPV2	Targeted Therapy	Usp14 inhibitor				
smer-3	small molecule	568763	CTRPV2	Targeted Therapy	yeast SCF family E3 ubiquitin ligase (SCFMet30) inhibitor				
ro4929097	small molecule	49867930	CTRPV2	Targeted Therapy	γ secretase inhibitor				
semagacestat	small molecule	9843750	CTRPV2	Targeted Therapy	γ-secretase inhibitor		investigational	DB12463	Semagacestat|LY-450139|LY450139|px-866
16-beta-bromoandrosterone	small molecule	16219061	CTRPV2				approved		
1s 3r-rsl-3	small molecule	1750826	CTRPV2						
3-cl-ahpc	small molecule	9866186	CTRPV2						
aa-cocf3	small molecule	5280436	CTRPV2						
austocystin d	small molecule	5470400	CTRPV2						
avicin d	small molecule	44566777	CTRPV2						
avrainvillamide	small molecule	11719255	CTRPV2						
b02	small molecule	5738263	CTRPV2						
bec	small molecule	9877608	CTRPV2						
brd-a94377914	small molecule	124202324	CTRPV2						
brd-k01737880	small molecule	44484893	CTRPV2						
brd-k02251932	small molecule	44486219	CTRPV2						
brd-k02492147	small molecule	54639126	CTRPV2						
brd-k04800985	small molecule	44487872	CTRPV2						
brd-k09344309	small molecule	44493952	CTRPV2						
brd-k09587429	small molecule	54639701	CTRPV2						
brd-k13999467	small molecule	54618164	CTRPV2						
brd-k14844214	small molecule	54618305	CTRPV2						
brd-k16147474	small molecule	44498493	CTRPV2						
brd-k17060750	small molecule	54639665	CTRPV2						
brd-k19103580	small molecule	44491742	CTRPV2						
brd-k20514654	small molecule	73707440	CTRPV2						
brd-k26531177	small molecule	613753	CTRPV2						
brd-k27224038	small molecule	54618359	CTRPV2						
brd-k27986637	small molecule	44505237	CTRPV2						
brd-k29086754	small molecule	44494015	CTRPV2						
brd-k30019337	small molecule	44486093	CTRPV2						
brd-k33199242	small molecule	44495899	CTRPV2						
brd-k33514849	small molecule	54618795	CTRPV2						
brd-k34485477	small molecule	44484440	CTRPV2						
brd-k37390332	small molecule	44620216	CTRPV2						
brd-k41334119	small molecule	44490293	CTRPV2						
brd-k41597374	small molecule	54619267	CTRPV2						
brd-k44224150	small molecule	44487330	CTRPV2						
brd-k45681478	small molecule	1716436	CTRPV2						
brd-k48334597	small molecule	44489367	CTRPV2						
brd-k48477130	small molecule	1474550	CTRPV2						
brd-k49290616	small molecule	54638372	CTRPV2						
brd-k50799972	small molecule	54649381	CTRPV2						
brd-k52037352	small molecule	44493528	CTRPV2						
brd-k55116708	small molecule	44507138	CTRPV2						
brd-k55473186	small molecule	73707442	CTRPV2						
brd-k63431240	small molecule	54618771	CTRPV2						
brd-k64610608	small molecule	44489675	CTRPV2						
brd-k66453893	small molecule	44202524	CTRPV2						
brd-k70511574	small molecule	9888590	CTRPV2						
brd-k71935468	small molecule	6729245	CTRPV2						
brd-k75293299	small molecule	44489127	CTRPV2						
brd-k84807411	small molecule	44494148	CTRPV2						
brd-k86535717	small molecule	54649500	CTRPV2						
brd-k90370028	small molecule	70680404	CTRPV2						
brd-k92856060	small molecule	2945648	CTRPV2						
brd-k94991378	small molecule	731789	CTRPV2						
brd-k96431673	small molecule	54639024	CTRPV2						
brd-k96970199	small molecule	54619238	CTRPV2						
brd-k99006945	small molecule	71576742	CTRPV2						
brd4132	small molecule	7326481	CTRPV2						
brd6340	small molecule	1641662	CTRPV2						
brd9647	small molecule	1242560	CTRPV2						
brd9876	small molecule	613000	CTRPV2						
cay10618	small molecule	44819697	CTRPV2						
cct036477	small molecule	3634881	CTRPV2						
cyanoquinoline 11	small molecule	17759555	CTRPV2						
debio-1143	small molecule	25022340	CTRPV2				investigational	DB16305	at-406|ap inhibitor at-406|xevinapant
elocalcitol	small molecule	11396600	CTRPV2				investigational	DB06194	BXL-628|BXL628|RO-26-9228
gsk-j4	small molecule	71729975	CTRPV2						
isonicotinohydroxamic acid	small molecule	72967	CTRPV2						
jq-1	small molecule	46907787	CTRPV2					DB17021	jq1
khs101	small molecule	71304818	CTRPV2						
l-685458	small molecule	5479543	CTRPV2						
merck60	small molecule	6918878	CTRPV2						
mi-1	small molecule	1323703	CTRPV2						
ml006	small molecule	2842253	CTRPV2						
ml029	small molecule	2858523	CTRPV2						
ml050	small molecule	3136844	CTRPV2						
ml083	small molecule	650361	CTRPV2						
ml203	small molecule	44543605	CTRPV2						
ml258	small molecule	53301938	CTRPV2						
ml312	small molecule	44487061	CTRPV2						
n9-isopropylolomoucine	small molecule	6610355	CTRPV2				withdrawn		
nakiterpiosin	small molecule	11966550	CTRPV2						
neopeltolide	small molecule	16115403	CTRPV2						
neuronal differentiation inducer iii	small molecule	19582717	CTRPV2						
npc-26	small molecule	3465537	CTRPV2						
nsc30930	small molecule	81146	CTRPV2						
nsc48300	small molecule	241158	CTRPV2						
obatoclax	small molecule	11404337	CTRPV2				investigational	DB12191	Obatoclax|GX 015-070|GX 05-070|GX15-070
omacetaxine mepesuccinate	small molecule	285033	CTRPV2				approved	DB04865	synribo
ouabain	small molecule	439501	CTRPV2				approved	DB01092	
palmostatin b	small molecule	45100481	CTRPV2						
pandacostat	small molecule	135928012	CTRPV2						
sz4ta2	small molecule	11657048	CTRPV2						
Tirbanibulin	small molecule	23635314	CTRPV2				approved	DB06137	Tirbanibulin|KX-01|KX-2-391|KX-2391|KX2-391
triazolothiadiazine	small molecule	67156097	CTRPV2						
turofexorate isopropyl	small molecule	10026128	CTRPV2				investigational	DB12719	way-362450
vu0155056	small molecule	25105704	CTRPV2						
doramapimod	small molecule	156422	CTRPV2|GDSC	Immunotherapy	P38 MAPK inhibitor,cell permeable and highly selective		investigational	DB03044	birb-796
agk-2	small molecule	2130404	CTRPV2|GDSC	Targeted Therapy	SIRT2 inhibitor, potent and selectiv				agk2
venetoclax	small molecule	49846579	CTRPV2|GDSC				approved	DB11581	abt-199
nutlin-3a (-)	small molecule	11433190	GDSC	Targeted Therapy	a murine double microbody 2 (MDM2) antagonist				
s-trityl-l-cysteine	small molecule	76044	GDSC	Targeted Therapy	a non-natural amino acid and an inhibitor of Eg5, also known as KSP and Kif11, a mitotic kinesin necessary for mitotic spindle formation				
azd5582	small molecule	49847690	GDSC	Targeted Therapy	a novel class of dimeric Smac mimetics as potent IAP antagonist; binds potently to the BIR3 domains of cIAP1, cIAP2, and XIAP 				
umi-77	small molecule	992586	GDSC	Targeted Therapy	a novel small-molecule inhibitor of Mcl-1 with Ki 				
tak-715	small molecule	9952773	GDSC	Targeted Therapy	A p38 MAPK inhibitor				
midostaurin	small molecule	9829523	GDSC	Immunotherapy	A PKC inhibitor		approved	DB06595	4'-N-benzoylstaurosporine|Midostaurin|CGP 41251|CGP-41251|NVP-PKC412|PKC 412|PKC-412
ceralasertib	small molecule	54761306	GDSC	Targeted Therapy	a potent and selective sulfoximine morpholinopyrimidine ATR inhibitor with excellent preclinical physicochemical and pharmacokinetic (PK) characteristics		investigational	DB14917	azd6738
mn-64	small molecule	2802462	GDSC	Targeted Therapy	a potent and selective tankyrase inhibitor				
epz004777	small molecule	56962336	GDSC	Targeted Therapy	a potent epigenetic modulators, can reverse TGF-β1 induced T regulatory cells and may be used to treat diverse immune disorders.				
epz5676	small molecule	57345410	GDSC	Targeted Therapy	a potent inhibitor of DOT1L histone methyltransferase				
sgc0946	small molecule	56962337	GDSC	Targeted Therapy	a potent small-molecule inhibitor of protein methyltransferase (PMT) DOT1L, a unique protein lysine methyltransferase (PKMT) catalyzing the methylation of histone H3 on Lysine 79 (H3K79)				
wiki4	small molecule	2984337	GDSC	Targeted Therapy	a potent tankyrase inhibitor				
cay10566	small molecule	16732433	GDSC	Targeted Therapy	a potent, orally bioavailable and selective stearoyl-CoA desaturase1 (SCD1) inhibitor				
prt062607	small molecule	44462758	GDSC	Targeted Therapy	A potent, orally bioavailable Syk inhibitor				
remodelin	small molecule	44442376	GDSC	Targeted Therapy	a small molecule inhibitor of N-acetyltransferase 10 (NAT10).Dysregulation of N-acetyltransferase 10 (NAT10) is associated with the development of many types of tumors				
a-770041	small molecule	9549184	GDSC	Targeted Therapy	a Src-family Lck inhibitor				
pyridostatin	small molecule	25227847	GDSC	Targeted Therapy	a synthetic small-molecule stabilizer of G-quadruplexe				
ldn-193189	small molecule	25195294	GDSC	Targeted Therapy	ALK inhibitor				
sb505124	small molecule	9858940	GDSC	Targeted Therapy	ALK4/ALK5/ALK7 inhibitor				
dmog	small molecule	560326	GDSC	Targeted Therapy	an antagonist of α-ketoglutarate cofactor and an inhibitor of HIF-proline hydroxylase, leading to the stability and accumulation of HIF-1α protein in the nucleus				
lenalidomide	small molecule	216326	GDSC	Targeted Therapy	an antineoplastic agent exhibiting antitumor activity through a variety of mechanisms, including immune system activation, angiogenesis inhibition, and direct antineoplastic effects. 		approved	DB00480	
lcl161	small molecule	24737642	GDSC	Targeted Therapy	Antagonist of IAPs inhibitor		investigational	DB12085	
qs11	small molecule	42623900	GDSC	Targeted Therapy	ARFGAP1 inhibitor,Wnt/beta-catenin pathway modulato				
cp466722	small molecule	44551660	GDSC	Targeted Therapy	ATM inhibitor,potent and reversible				
az20	small molecule	46244454	GDSC	Targeted Therapy	ATR inhibitor,potent and selective				
gsk1070916	small molecule	46885626	GDSC	Targeted Therapy	Aurora B/C inhibitor				
stf-62247	small molecule	704473	GDSC	Targeted Therapy	Autophagy inducer in renal cell				
wehi-539	small molecule	71297207	GDSC	Targeted Therapy	Bcl-xL inhibitor,potent and selective				
gnf-2	small molecule	5311510	GDSC	Targeted Therapy	Bcr-Abl inhibitor				
pfi-1	small molecule	71271629	GDSC	Targeted Therapy	BET inhibitor				
i-brd9	small molecule	91668541	GDSC	Targeted Therapy	BRD9 inhibitor				
bromosporine	small molecule	72943187	GDSC	Immunotherapy	Bromodomain inhibitor,non-selective				
c-75	small molecule	4248455	GDSC	Targeted Therapy	C75 is a synthetic fatty-acid synthase (FASN) inhibitor; inhibits prostate cancer cells PC3 				
cpi-637	small molecule	121271792	GDSC	Targeted Therapy	CBP/EP300 bromodomain inhibitor				
cgp-60474	small molecule	644215	GDSC	Targeted Therapy	CDKs and PKC inhibitor, potent				
mk-8776	small molecule	16224745	GDSC	Targeted Therapy	Chk1 inhibitor,potent and selective		investigational	DB11899	SCH 900776
mycophenolic acid	small molecule	446541	GDSC	Targeted Therapy	Dehydrogenase inhibitor. an an immunosuppresant drug and has potent anti-proliferative activity		approved	DB01024	Acide mycophenolique|Acido micofenolico|Acidum mycophenolicum|Micofenolico acido|Mycophenolate|Mycophenolic acid|Mycophenolsäure|68618|NSC-129185
pyrimethamine	small molecule	4993	GDSC	Targeted Therapy	DHFR inhibitor		approved	DB00205	Chloridine|Chloridyn|Diaminopyritamin|Ethylpyrimidine|Pirimetamina|Primethamine|Pyriméthamine|Pyrimethamine|Pyrimethaminum|NSC-3061|RP-4753|WR-2978|
dihydrorotenone	small molecule	243725	GDSC	Targeted Therapy	Dihydrorotenone, a natural pesticide, is a potent mitochondrial inhibitor				
lmp744	small molecule	397888	GDSC	Targeted Therapy	DNA intercalator and Topoisomerase (Top1) inhibitor 				
nu7441	small molecule	11327430	GDSC	Targeted Therapy	DNA-PK inhibitor				
nvp-bhg712	small molecule	16747388	GDSC	Targeted Therapy	EphB4 inhibitor,potent and selective				
fr-180204	small molecule	11493598	GDSC	Targeted Therapy	ERK inhibitor				
vx-11e	small molecule	11634725	GDSC	Targeted Therapy	ERK inhibitor				
sch772984	small molecule	24866313	GDSC	Targeted Therapy	ERK1 and ERK2 inhibitor		approved		
gsk343	small molecule	71268957	GDSC	Targeted Therapy	EZH2 inhibitor,potent,selective and cell permeable				
tipifarnib	small molecule	159324	GDSC	Targeted Therapy	Farnesyltransferase inhibitor,potent and specific		investigational	DB04960	Tipifarnib|Zarnestra|R-115777|R115777
pd173074	small molecule	1401	GDSC	Targeted Therapy	FGFR inhibitor				
fti-277	small molecule	3005532	GDSC	Targeted Therapy	FTI-277 is an inhibitor of farnesyl transferase (FTase); a highly potent Ras CAAX peptidomimetic which antagonizes both H- and K-Ras oncogenic signaling				
unc0642	small molecule	53315878	GDSC	Targeted Therapy	G9a and GLP histone lysine methyltransferase inhibitor				
a-366	small molecule	76285486	GDSC	Targeted Therapy	G9a/GLP histone lysine methyltransferase inhibitor				
tws119	small molecule	9549289	GDSC	Targeted Therapy	GSK-3β inhibitor				
cyclopamine	small molecule	442972	GDSC	Targeted Therapy	Hedgehog (Hh) signaling Inhibitor				
cp724714	small molecule	9874913	GDSC	Targeted Therapy	HER2 inhibitor				
hg6-64-1	small molecule	53302361	GDSC	Targeted Therapy	HG6-64-1 is a potent and selective B-Raf inhibitor				
iox2	small molecule	54685215	GDSC	Targeted Therapy	HIF-1α prolyl hydroxylase-2 (PHD2) inhibitor				
agi-5198	small molecule	56645356	GDSC	Targeted Therapy	IDH1 inhibitor against R132 mutant,selective and cell-permeable				
agi-6780	small molecule	71299339	GDSC	Targeted Therapy	IDH2/R140Q mutation inhibitor				
imd-0354	small molecule	5081913	GDSC	Targeted Therapy	IKKβ inhibitor				
gsk2801	small molecule	73010930	GDSC	Targeted Therapy	inhibitor of BAZ2A and BAZ2B bromodomains				
sgc-cbp30	small molecule	72201027	GDSC	Targeted Therapy	Inhibitor of CREBBP/EP300 bromodomain,potent				
az628	small molecule	11676786	GDSC	Targeted Therapy	Inhibitor of Flk-1/Flt-4/PDGFR-/c-Kit				
gsk-lsd1-2hcl	small molecule	91663353	GDSC	Targeted Therapy	irreversible, and selective LSD1 inhibitor				
bms-509744	small molecule	11467730	GDSC	Targeted Therapy	Itk inhibitor				
az960	small molecule	25099184	GDSC	Targeted Therapy	JAKs inhibitor				
wh-4-023	small molecule	11844351	GDSC	Targeted Therapy	Lck/Src inhibitor,potent and selective				
gsk2578215a	small molecule	68107965	GDSC	Targeted Therapy	LRRK2 inhibitor				
mim1	small molecule	135691163	GDSC	Targeted Therapy	Mcl-1 Inhibitor				
azd5991	small molecule	131634760	GDSC	Targeted Therapy	Mcl-1 inhibitor with an IC50 of <3 nM in FRET assay.		investigational	DB14792	AZD5991
nsc-207895	small molecule	42640	GDSC	Targeted Therapy	MDMX inhibitor,anti-cancer agent				
etp-45835	small molecule	71755761	GDSC	Targeted Therapy	Mnk1/2 inhibitor				
mirin	small molecule	137319711	GDSC	Targeted Therapy	Mre11-Rad50-Nbs1 (MRN)-ATM pathway inhibitor				
at-7519	small molecule	11338033	GDSC	Targeted Therapy	Multi-CDK inhibitor				
unc0379	small molecule	78357767	GDSC	Targeted Therapy	N-lysine methyltransferase SETD8 inhibitor				
pfi3	small molecule	78243717	GDSC	Targeted Therapy	nhibitor of polybromo 1 and SMARCA4				pfi-3
wz4003	small molecule	72200024	GDSC	Targeted Therapy	NUAK1/2 inhibitor, potent and selective				
of-1	small molecule	35397514	GDSC	Targeted Therapy	OF-1 is a selective BRPF1B and BRPF2 bromodomain inhibitor 				
gsk2830371	small molecule	70983932	GDSC	Targeted Therapy	Orally active, allosteric inhibitor of Wip1 phosphatase				
azd-5153	small molecule	118693659	GDSC	Targeted Therapy	orally available, bivalent inhibitor of the bromodomain and extraterminal (BET) protein BRD4.		investigational	DB17018	azd5153
otx015	small molecule	9936746	GDSC	Targeted Therapy	OTX-015 inhibits the binding of BRD2, BRD3, and BRD4 to acetylated histone 4 in a concentration-dependent manner		investigational	DB15189	Birabresib|OTX015
elesclomol	small molecule	300471	GDSC	Targeted Therapy	Oxidative stress/apoptosis inducer,potent and novel		investigational	DB05719	Elesclomol|Élesclomol|Elesclomolum|GSK-842879|GSK-842879A|STA-4783
pf-4708671	small molecule	51371303	GDSC	Targeted Therapy	P70 S6K1 isoform inhibitor,cell-permeabl				
lji308	small molecule	118704762	GDSC	Targeted Therapy	pan-RSK inhibitor				
cpi-613	small molecule	24770514	GDSC	Targeted Therapy	PDH/α-KGDH inhibitor				
bx795	small molecule	10077147	GDSC	Targeted Therapy	PDK1 inhibitor				
gsk2606414	small molecule	53469448	GDSC	Targeted Therapy	PERK inhibitor,potent and selective				
ym201636	small molecule	9956222	GDSC	Targeted Therapy	PIKfyve inhibitor,potent and selective				
bryostatin 1	small molecule	5280757	GDSC	Targeted Therapy	PKC activator				
enzastaurin	small molecule	176167	GDSC	Targeted Therapy	PKC beta inhibitor,potent and selective				
niraparib	small molecule	24958200	GDSC	Targeted Therapy	polymerase inhibitor		approved	DB11793	zejula
talazoparib	small molecule	135565082	GDSC	Targeted Therapy	polymerase inhibitor		approved	DB11760	talazoparib tosylate|talzenna
lgk974	small molecule	46926973	GDSC	Targeted Therapy	PORCN inhibitor,potent and specific				
as605240	small molecule	5289247	GDSC	Targeted Therapy	Potent and selective PI 3-Kγ inhibitor				
sb590885	small molecule	135421339	GDSC	Targeted Therapy	Potent B-Raf inhibitor				
obatoclax mesylate	small molecule	16681698	GDSC	Targeted Therapy	Potent Bcl-2 inhibitor		investigational	DB12191	Obatoclax|GX 015-070|GX 05-070|GX15-070|
rvx-208	small molecule	135564749	GDSC	Targeted Therapy	Potent BET bromodomain inhibitor		investigational		
azd5438	small molecule	16747683	GDSC	Targeted Therapy	Potent CDK1/2/9 inhibitor				
cct245232	small molecule	117996541	GDSC	Targeted Therapy	potent inhibitor of heat shock factor				
crt0105950	small molecule	117918970	GDSC	Targeted Therapy	Potent LIMK1/2 inhibitor				
rucaparib	small molecule	9931954	GDSC	Targeted Therapy	Potent PARP inhibitor		approved	DB12332	rubraca
osu-03012	small molecule	10027278	GDSC	Targeted Therapy	Potent PDK1 inhibitor				
pomhex	small molecule	122540908	GDSC	Targeted Therapy	potent, ENO2-specific inhibitor of enolase.				
cct007093	small molecule	2314623	GDSC	Targeted Therapy	PPM1D inhibitor				
gsk591	small molecule	117072552	GDSC	Targeted Therapy	PRMT5 inhibitor				
berzosertib	small molecule	59472121	GDSC	Targeted Therapy	protein inhibitor		investigational	DB11794	
buparlisib	small molecule	16654980	GDSC	Targeted Therapy	protein inhibitor		investigational	DB11666	Buparlisib|Buparlisibum|BKM 120|BKM-120|BKM-120NX|NVP-BKM-120|NVP-BKM120
ipatasertib	small molecule	24788740	GDSC	Targeted Therapy	protein inhibitor		investigational	DB11743	Ipatasertib|GDC-0068|RG-7440
ispinesib mesylate	small molecule	6450816	GDSC	Targeted Therapy	protein inhibitor				
luminespib	small molecule	135539077	GDSC	Targeted Therapy	protein inhibitor				
omipalisib	small molecule	25167777	GDSC	Targeted Therapy	protein inhibitor		investigational	DB12703	Omipalisib|GSK2126458
taselisib	small molecule	51001932	GDSC	Targeted Therapy	protein inhibitor		investigational	DB12108	
uprosertib	small molecule	51042438	GDSC	Targeted Therapy	protein inhibitor		investigational	DB11969	
vistusertib	small molecule	25262792	GDSC	Targeted Therapy	protein inhibitor		investigational	DB11925	azd2014
motesanib	small molecule	11667893	GDSC	Targeted Therapy	protein inhibitor,Inhibitor of Flk-1/Flt-4/PDGFR-/c-Kit				
eht-1864	small molecule	9938202	GDSC	Targeted Therapy	Rac family small GTPases inhibitor				
y-39983	small molecule	9810884	GDSC	Targeted Therapy	ROCK family inhibitor				
